gid	n_B73	n_Mo17	n_ambiguous
Zm00001d002685	38	43	0
Zm00001d002690	4726	3217	43
Zm00001d002695	128	126	3
Zm00001d002696	2	4	0
Zm00001d002703	27	27	0
Zm00001d002704	117	23	0
Zm00001d002705	125	243	5
Zm00001d002707	3	4	0
Zm00001d002708	4	0	0
Zm00001d002711	204	162	2
Zm00001d002712	5	0	0
Zm00001d002713	14	10	0
Zm00001d002718	9	8	0
Zm00001d002733	18	2	0
Zm00001d002734	170	284	9
Zm00001d002735	76	0	0
Zm00001d002741	0	2	0
Zm00001d002742	37	26	0
Zm00001d002748	6	4	0
Zm00001d002751	24	67	1
Zm00001d002754	0	3	1
Zm00001d002755	0	1	0
Zm00001d002756	144	22	0
Zm00001d002757	13	15	0
Zm00001d002758	3	3	0
Zm00001d002759	263	464	7
Zm00001d002762	5	28	0
Zm00001d002768	5	5	0
Zm00001d002770	394	334	8
Zm00001d002771	1	1	0
Zm00001d002772	3	0	0
Zm00001d002773	8	8	0
Zm00001d002775	329	374	14
Zm00001d002776	0	5	0
Zm00001d002778	2	1	0
Zm00001d002781	316	194	4
Zm00001d002782	44	40	1
Zm00001d002784	2	38	0
Zm00001d002787	34	15	0
Zm00001d002788	109	32	0
Zm00001d002789	58	36	0
Zm00001d002790	48	28	0
Zm00001d002791	214	198	5
Zm00001d002794	6	6	0
Zm00001d002796	48	11	0
Zm00001d002797	137	99	1
Zm00001d002798	23	26	0
Zm00001d002799	1213	640	34
Zm00001d002801	7	13	0
Zm00001d002802	5	1	1
Zm00001d002806	7	22	0
Zm00001d002810	10	2	0
Zm00001d002811	95	62	1
Zm00001d002812	6	5	0
Zm00001d002814	2322	1583	43
Zm00001d002815	6578	3973	120
Zm00001d002817	11	0	0
Zm00001d002819	76	68	2
Zm00001d002820	9	0	0
Zm00001d002822	5506	9027	116
Zm00001d002824	113	90	6
Zm00001d002825	101	79	4
Zm00001d002826	72	49	3
Zm00001d002827	119	116	2
Zm00001d002830	33	33	1
